LocationID,Suburb,State,Postcode,Latitude,Longitude
S-10,THARWA,act,2620,-35.51666641,149.06666565
S-73,THEODORE,act,2905,-35.45000076,149.1166687
S-37,THROSBY,act,2914,-35.18333435,149.16667175
S-64,TORRENS,act,2607,-35.38333511,149.08332825
S-9,TUGGERANONG,act,2900,-35.41666794,149.1000061
S-54,TURNER,act,2612,-35.26666641,149.1166687
S-42,URIARRA,act,2611,-35.29999924,148.93333435
S-47,URIARRA FOREST,act,2611,-35.29999924,148.93333435
S-11,WANNIASSA,act,2903,-35.40000153,149.08332825
S-12,WARAMANGA,act,2611,-35.34999847,149.06666565
S-27,WATSON,act,2602,-35.25,149.1499939
S-2,WEETANGERA,act,2614,-35.25,149.05000305
S-26,WESTON,act,2611,-35.33333206,149.05000305
S-23,WESTON CREEK,act,2611,-35.34999847,149.05000305
S-40,WODEN,act,2606,-35.34999847,149.08332825
S-30,YARRALUMLA,act,2600,-35.31666565,149.1166687
S-29,AARONS PASS,nsw,2850,-32.86666489,149.80000305
S-57,ABBOTSBURY,nsw,2176,-33.86666489,150.8500061
S-98,ABBOTSFORD,nsw,2046,-33.84999847,151.1166687
S-17,ABERCROMBIE,nsw,2795,-33.38333511,149.55000305
S-92,ABERDARE,nsw,2325,-32.83333206,151.3666687
S-11,ABERDEEN,nsw,2336,-30,151.06666565
S-77,ABERFOYLE,nsw,2350,-30.26666641,152.0166626
S-51,ABERGLASSLYN,nsw,2320,-32.68333435,151.53334045
S-25,ABERMAIN,nsw,2326,-32.79999924,151.41667175
S-71,ABERNETHY,nsw,2325,-32.88333511,151.3833313
S-80,ABINGTON,nsw,2350,-30.31666756,151.2333374
S-85,ACACIA CREEK,nsw,2476,-28.35000038,152.31666565
S-88,ACACIA GARDENS,nsw,2763,-33.73166656,150.91166687
S-86,ACACIA PARK,nsw,2350,-30.54166603,151.68167114
S-64,ACACIA PLATEAU,nsw,2476,-28.38333321,152.3666687
S-63,ADAMINABY,nsw,2629,-36,148.7666626
S-22,ADAMSTOWN,nsw,2289,-32.93333435,151.71665955
S-23,ADAMSTOWN HEIGHTS,nsw,2289,-32.94833374,151.70166016
S-46,ADELONG,nsw,2729,-35.29999924,148.05000305
S-62,ADJUNGBILLY,nsw,2727,-35.08333206,148.3999939
S-74,AFTERLEE,nsw,2474,-28.56666756,152.81666565
S-82,AGNES BANKS,nsw,2753,-33.59999847,150.71665955
S-89,AIRDS,nsw,2560,-34.08333206,150.81666565
S-98,AIRLY,nsw,2846,-33.11666489,150.05000305
S-21,AKOLELE,nsw,2546,-36.33333206,150.06666565
S-14,AKUNA BAY,nsw,2084,-33.63333511,151.2333374
S-8,ALBERT,nsw,2873,-32.34999847,147.5
S-97,ALBION PARK,nsw,2527,-34.58333206,150.7666626
S-59,ALBION PARK RAIL,nsw,2527,-34.56666565,150.78334045
S-6,ALBURY,nsw,2640,-36.06666565,146.8999939
S-51,ALDAVILLA,nsw,2440,-31.06666756,152.7666626
S-39,ALECTOWN,nsw,2870,-32.93333435,148.2333374
S-42,ALEXANDRIA,nsw,2015,-33.91666794,151.18333435
S-90,ALFORDS POINT,nsw,2234,-34,151.0166626
S-28,ALFREDTOWN,nsw,2650,-35.15000153,147.5166626
S-67,ALICE,nsw,2470,-29.01666641,152.58332825
S-51,ALISON,nsw,2259,-33.25,151.3833313
S-54,ALISON,nsw,2420,-33.25,151.3833313
S-18,ALLAMBIE,nsw,2100,-33.76666641,151.25
S-27,ALLAMBIE HEIGHTS,nsw,2100,-33.76666641,151.25
S-83,ALLANDALE,nsw,2320,-32.70000076,151.41667175
S-34,ALLAWAH,nsw,2218,-33.96666718,151.1166687
S-21,ALLEENA,nsw,2671,-34.04999924,147.1333313
S-1,ALLGOMERA CREEK,nsw,2441,-30.79999924,152.81666565
S-43,ALLWORTH,nsw,2425,-32.53333282,151.94999695
S-14,ALLYNBROOK,nsw,2311,-32.36666489,151.53334045
S-40,ALMA PARK,nsw,2659,-35.58333206,146.78334045
S-57,ALPINE,nsw,2575,-34.40000153,150.5166626
S-68,ALSTONVALE,nsw,2477,-28.78333282,153.43333435
S-66,ALSTONVILLE,nsw,2477,-28.5,153.42999268
S-26,ALSTONVILLE,nsw,2477,-28.83333397,153.43333435
S-31,ALUMY CREEK,nsw,2460,-29.63333321,152.94999695
S-79,AMAROO,nsw,2866,-33.16666794,148.91667175
S-1,AMBARVALE,nsw,2560,-34.08333206,150.80000305
S-70,AMMERDOWN,nsw,2800,-33.21666718,149.06666565
S-45,ANAMBAH,nsw,2320,-32.66666794,151.4833374
S-18,ANDO,nsw,2631,-36.73333359,149.2666626
S-52,ANEMBO,nsw,2621,-35.79999924,149.41667175
S-6,ANGLEDALE,nsw,2550,-36.61666489,149.8833313
S-74,ANGLEDOOL,nsw,2832,-29.08333397,147.93333435
S-52,ANGLERS REACH,nsw,2630,-36,148.66667175
S-39,ANGOURIE,nsw,2464,-29.46666718,153.3500061
S-39,ANGUS PLACE,nsw,2845,-33.33333206,150.1000061
S-77,ANNA BAY,nsw,2316,-32.78333282,152.08332825
S-67,ANNANDALE,nsw,2038,-33.88333511,151.16667175
S-5,ANNANGROVE,nsw,2156,-33.66666794,150.93333435
S-22,ANTIENE,nsw,2333,-32.31666565,150.9833374
S-98,APPIN,nsw,2560,-34.20000076,150.78334045
S-25,APPLE TREE FLAT,nsw,2850,-32.66666794,149.69999695
S-28,APPLEBY,nsw,2340,-30.95000076,150.8500061
S-67,APPLETREE FLAT,nsw,2330,-31.78333282,152.25
S-52,APSLEY,nsw,2820,-33.51666641,149.6000061
S-57,ARABLE,nsw,2630,-36.38333511,148.9833374
S-30,ARAKOON,nsw,2431,-30.85000038,153.08332825
S-80,ARALUEN,nsw,2622,-35.65000153,149.81666565
