Suburb,Postcode,Longitude,Latitude
ACACIA PARK,2350,151.68167114,-30.54166603
ACACIA PLATEAU,2476,152.3666687,-28.38333321
ADAMINABY,2629,148.7666626,-36
ADAMSTOWN,2289,151.71665955,-32.93333435
ADAMSTOWN HEIGHTS,2289,151.70166016,-32.94833374
ADELONG,2729,148.05000305,-35.29999924
ADJUNGBILLY,2727,148.3999939,-35.08333206
AFTERLEE,2474,152.81666565,-28.56666756
AGNES BANKS,2753,150.71665955,-33.59999847
AIRDS,2560,150.81666565,-34.08333206
AIRLY,2846,150.05000305,-33.11666489
AKOLELE,2546,150.06666565,-36.33333206
AKUNA BAY,2084,151.2333374,-33.63333511
ALBERT,2873,147.5,-32.34999847
ALBION PARK,2527,150.7666626,-34.58333206
ALBION PARK RAIL,2527,150.78334045,-34.56666565
ALBURY,2640,146.8999939,-36.06666565
ALDAVILLA,2440,152.7666626,-31.06666756
ALECTOWN,2870,148.2333374,-32.93333435
ALEXANDRIA,2015,151.18333435,-33.91666794
ALFORDS POINT,2234,151.0166626,-34
ALFREDTOWN,2650,147.5166626,-35.15000153
ALICE,2470,152.58332825,-29.01666641
ALISON,2259,151.3833313,-33.25
ALISON,2420,151.3833313,-33.25
ALLAMBIE,2100,151.25,-33.76666641
ALLAMBIE HEIGHTS,2100,151.25,-33.76666641
ALLANDALE,2320,151.41667175,-32.70000076
ALLAWAH,2218,151.1166687,-33.96666718
ALLEENA,2671,147.1333313,-34.04999924
ALLGOMERA CREEK,2441,152.81666565,-30.79999924
ALLWORTH,2425,151.94999695,-32.53333282
ALLYNBROOK,2311,151.53334045,-32.36666489
ALMA PARK,2659,146.78334045,-35.58333206
ALPINE,2575,150.5166626,-34.40000153
ALSTONVALE,2477,153.43333435,-28.78333282
ALSTONVILLE,2477,153.42999268,-28.5
ALSTONVILLE,2477,153.43333435,-28.83333397
ALUMY CREEK,2460,152.94999695,-29.63333321
AMAROO,2866,148.91667175,-33.16666794
AMBARVALE,2560,150.80000305,-34.08333206
AMMERDOWN,2800,149.06666565,-33.21666718
ANAMBAH,2320,151.4833374,-32.66666794
ANDO,2631,149.2666626,-36.73333359
ANEMBO,2621,149.41667175,-35.79999924
ANGLEDALE,2550,149.8833313,-36.61666489
ANGLEDOOL,2832,147.93333435,-29.08333397
ANGLERS REACH,2630,148.66667175,-36
ANGOURIE,2464,153.3500061,-29.46666718
ANGUS PLACE,2845,150.1000061,-33.33333206
ANNA BAY,2316,152.08332825,-32.78333282
ANNANDALE,2038,151.16667175,-33.88333511
ANNANGROVE,2156,150.93333435,-33.66666794
ANTIENE,2333,150.9833374,-32.31666565
APPIN,2560,150.78334045,-34.20000076
APPLE TREE FLAT,2850,149.69999695,-32.66666794
APPLEBY,2340,150.8500061,-30.95000076
APPLETREE FLAT,2330,152.25,-31.78333282
APSLEY,2820,149.6000061,-33.51666641
ARABLE,2630,148.9833374,-36.38333511
ARAKOON,2431,153.08332825,-30.85000038
ARALUEN,2622,149.81666565,-35.65000153
ARALUEN NORTH,2622,149.80000305,-35.61666489
ARCADIA,2159,151.03334045,-33.61666489
ARCADIA VALE,2283,151.58332825,-33.06666565
ARDGLEN,2338,150.78334045,-31.73333359
ARDING,2358,151.5166626,-30.56666756
ARDLETHAN,2665,146.8999939,-34.34999847
ARGALONG,2720,148.43333435,-35.29999924
ARGENTON,2284,151.6166687,-32.93333435
ARGENTS HILL,2449,152.75,-30.61666679
ARGOON,2707,145.57499695,-34.80500031
ARGYLE,2350,151.83332825,-30.56666756
ARIAH PARK,2665,147.21665955,-34.33333206
ARKELL,2795,149.3833313,-33.71666718
ARKSTONE,2795,149.6499939,-34.01666641
ARMATREE,2831,148.46665955,-31.43333244
ARMIDALE,2350,151.66667175,-30.51666641
ARNCLIFFE,2205,151.1499939,-33.93333435
ARNDELL PARK,2148,150.8666687,-33.78333282
ARRAWARRA,2456,153.19999695,-30.04999924
ARRAWARRA HEADLAND,2456,153.19500732,-30.06833267
ARTARMON,2064,151.18333435,-33.79999924
ARTHURVILLE,2820,148.7333374,-32.54999924
ASHBURY,2193,151.1166687,-33.90000153
ASHBY,2463,153.18333435,-29.41666603
ASHBY HEIGHTS,2463,153.16667175,-29.38333321
ASHCROFT,2168,150.8999939,-33.91666794
ASHFIELD,2131,151.1166687,-33.88333511
ASHFORD,2361,151.08332825,-29.31666756
ASHLEY,2400,149.81666565,-29.31666756
ASHMONT,2650,147.33332825,-35.13166809
ASHTONFIELD,2323,151.6000061,-32.78333282
ASHVILLE,2594,149.6000061,-36.63333511
ASQUITH,2077,151.1000061,-33.68333435
ATHOLWOOD,2361,151.05000305,-28.98333359
ATTUNGA,2345,150.8500061,-30.93333244
AUBURN,2144,151.03334045,-33.84833145
AUBURN SOUTH,2144,151.03334045,-33.83333206
AUBURN VALE,2360,151.03334045,-29.81666756
AUDLEY,2232,151.05000305,-34.08333206
AURVILLE,2587,148.3833313,-34.53333282
AUSTINMER,2515,150.93333435,-34.29999924
AUSTRAL,2179,150.81666565,-33.93333435
AUSTRAL EDEN,2440,152.93333435,-31.01666641
AVALON,2107,151.31799316,-33.63199997
AVALON BEACH,2107,151.33332825,-33.63333511
AVISFORD,2850,149.4833374,-32.71666718
AVOCA,2577,150.4833374,-34.61500168
